review_id,user_suggestion
1603,1
1604,0
1605,0
1606,0
1607,1
1608,1
1609,1
1610,1
1611,1
1612,0
1613,1
1614,1
1615,1
1616,1
1617,0
1618,0
1619,1
1620,0
1621,1
1622,1
1623,1
1624,1
1625,0
1626,1
1627,0
1628,1
1629,0
1630,1
1631,1
1632,0
1633,0
1634,0
1635,1
1636,0
1637,0
1638,0
1639,0
1640,0
1641,0
1642,1
1643,0
1644,0
1645,0
1646,1
1647,1
1648,0
1649,0
1650,1
1651,1
1652,1
1653,0
1654,1
1655,1
1656,1
1657,1
1658,0
1659,0
1660,0
1661,1
1662,0
1663,1
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,1
1673,1
1674,0
1675,1
1676,1
1677,0
1678,0
1679,1
1680,1
1681,0
1682,1
1683,0
1684,0
1685,1
1686,0
1687,1
1688,1
1689,1
1690,0
1691,1
1692,0
1693,1
1694,1
1695,1
1696,1
1697,0
1698,1
1699,1
1700,0
1701,0
1702,0
1703,0
1704,1
1705,0
1706,1
1707,0
1708,0
1709,0
1710,0
1711,1
1712,0
1713,1
1714,1
1715,0
1716,1
1717,1
1718,1
1719,1
1720,1
1721,0
1722,1
1723,0
1724,0
1725,0
1726,1
1727,1
1728,1
1729,0
1730,1
1731,1
1732,0
1733,0
1734,0
1735,0
1736,0
1737,1
1738,1
1739,1
1740,0
1741,0
1742,1
1743,0
1744,0
1745,1
1746,1
1747,1
1748,1
1749,0
1750,1
1751,0
1752,0
1753,1
1754,1
1755,1
1756,1
1757,0
1758,1
1759,0
1760,1
1761,1
1762,1
1763,1
1764,0
1765,0
1766,1
1767,1
1768,1
1769,1
1770,0
1771,1
1772,0
1773,0
1774,0
1775,0
1776,0
1777,0
1778,0
1779,1
1780,0
1781,0
1782,0
1783,1
1784,0
1785,0
1786,0
1787,0
1788,0
1789,1
1790,0
1791,0
1792,0
1793,0
1794,0
1795,1
1796,1
1797,0
1798,0
1799,0
1800,1
1801,0
1802,0
1803,1
1804,0
1805,1
1806,0
1807,1
1808,0
1809,0
1810,0
1811,0
1812,1
1813,1
1814,1
1815,0
1816,1
1817,1
1818,0
1819,0
1820,1
1821,1
1822,1
1823,1
1824,0
1825,0
1826,0
1827,1
1828,0
1829,0
1830,0
1831,1
1832,0
1833,0
1834,0
1835,0
1836,1
1837,0
1838,1
1839,0
1840,0
1841,0
1842,0
1843,1
1844,1
1845,0
1846,0
1847,1
1848,0
1849,1
1850,1
1851,0
1852,1
1853,1
1854,1
1855,0
1856,1
1857,0
1858,0
1859,0
1860,1
1861,0
1862,1
1863,1
1864,0
1865,1
1866,0
1867,1
1868,0
1869,1
1870,1
1871,1
1872,1
1873,1
1874,1
1875,0
1876,1
1877,1
1878,0
1879,0
1880,1
1881,1
1882,1
1883,1
1884,1
1885,0
1886,0
1887,1
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,1
1898,1
1899,1
1900,1
1901,1
1902,1
1903,1
1904,0
1905,1
1906,0
1907,0
1908,1
1909,1
1910,0
1911,1
1912,0
1913,1
1914,0
1915,1
1916,0
1917,1
1918,1
1919,0
1920,1
1921,0
1922,1
1923,1
1924,0
1925,1
1926,0
1927,0
1928,1
1929,1
1930,0
1931,1
1932,0
1933,1
1934,0
1935,0
1936,0
1937,1
1938,0
1939,0
1940,1
1941,1
1942,0
1943,0
1944,1
1945,1
1946,1
1947,0
1948,0
1949,1
1950,1
1951,1
1952,0
1953,0
1954,1
1955,0
1956,1
1957,1
1958,1
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,1
1966,0
1967,0
1968,1
1969,0
1970,1
1971,1
1972,1
1973,0
1974,0
1975,1
1976,0
1977,0
1978,1
1979,0
1980,0
1981,1
1982,0
1983,0
1984,1
1985,1
1986,1
1987,0
1988,0
1989,0
1990,0
1991,1
1992,0
1993,1
1994,1
1995,1
1996,0
1997,1
1998,1
1999,1
2000,1
2001,1
2002,1
2003,1
2004,0
2005,1
2006,1
2007,1
2008,1
2009,1
2010,1
2011,0
2012,1
2013,0
2014,1
2015,1
2016,0
2017,1
2018,0
2019,0
2020,1
2021,1
2022,1
2023,0
2024,1
2025,0
2026,0
2027,0
2028,1
2029,1
2030,0
2031,1
2032,1
2033,0
2034,1
2035,0
2036,0
2037,0
2038,0
2039,0
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,0
2048,1
2049,1
2050,1
2051,0
2052,1
2053,0
2054,0
2055,0
2056,0
2057,1
2058,1
2059,1
2060,0
2061,1
2062,0
2063,1
2064,1
2065,1
4547,1
4548,0
4549,1
4550,0
4551,1
4552,1
4553,0
4554,1
4555,1
4556,1
4557,0
4558,0
4559,1
4560,1
